"","Survived","Pclass","Sex","Age","Fare","Embarked","hasFamily","Title"
"1","0","3","male",22,7.25,"S","1","Mr"
"2","1","1","female",38,71.2833,"C","1","Mrs"
"3","1","3","female",26,7.925,"S","0","Miss"
"4","1","1","female",35,53.1,"S","1","Mrs"
"5","0","3","male",35,8.05,"S","0","Mr"
"6","0","3","male",65,8.4583,"Q","0","Mr"
"7","0","1","male",54,51.8625,"S","0","Mr"
"8","0","3","male",2,21.075,"S","1","Master"
"9","1","3","female",27,11.1333,"S","1","Mrs"
"10","1","2","female",14,30.0708,"C","1","Mrs"
"11","1","3","female",4,16.7,"S","1","Miss"
"12","1","1","female",58,26.55,"S","0","Miss"
"13","0","3","male",20,8.05,"S","0","Mr"
"14","0","3","male",39,31.275,"S","1","Mr"
"15","0","3","female",14,7.8542,"S","0","Miss"
"16","1","2","female",55,16,"S","0","Mrs"
"17","0","3","male",2,29.125,"Q","1","Master"
"18","1","2","male",34,13,"S","0","Mr"
"19","0","3","female",31,18,"S","1","Mrs"
"20","1","3","female",15,7.225,"C","0","Mrs"
"21","0","2","male",35,26,"S","0","Mr"
"22","1","2","male",34,13,"S","0","Mr"
"23","1","3","female",15,8.0292,"Q","0","Miss"
"24","1","1","male",28,35.5,"S","0","Mr"
"25","0","3","female",8,21.075,"S","1","Miss"
"26","1","3","female",38,31.3875,"S","1","Mrs"
"27","0","3","male",40,7.225,"C","0","Mr"
"28","0","1","male",19,263,"S","1","Mr"
"29","1","3","female",19,7.8792,"Q","0","Miss"
"30","0","3","male",36,7.8958,"S","0","Mr"
"31","0","1","male",40,27.7208,"C","0","Royalty"
"32","1","1","female",40,146.5208,"C","1","Mrs"
"33","1","3","female",22,7.75,"Q","0","Miss"
"34","0","2","male",66,10.5,"S","0","Mr"
"35","0","1","male",28,82.1708,"C","1","Mr"
"36","0","1","male",42,52,"S","1","Mr"
"37","1","3","male",22,7.2292,"C","0","Mr"
"38","0","3","male",21,8.05,"S","0","Mr"
"39","0","3","female",18,18,"S","1","Miss"
"40","1","3","female",14,11.2417,"C","1","Miss"
"41","0","3","female",40,9.475,"S","1","Mrs"
"42","0","2","female",27,21,"S","1","Mrs"
"43","0","3","male",33,7.8958,"C","0","Mr"
"44","1","2","female",3,41.5792,"C","1","Miss"
"45","1","3","female",19,7.8792,"Q","0","Miss"
"46","0","3","male",21,8.05,"S","0","Mr"
"47","0","3","male",32,15.5,"Q","1","Mr"
"48","1","3","female",22,7.75,"Q","0","Miss"
"49","0","3","male",26,21.6792,"C","1","Mr"
"50","0","3","female",18,17.8,"S","1","Mrs"
"51","0","3","male",7,39.6875,"S","1","Master"
"52","0","3","male",21,7.8,"S","0","Mr"
"53","1","1","female",49,76.7292,"C","1","Mrs"
"54","1","2","female",29,26,"S","1","Mrs"
"55","0","1","male",65,61.9792,"C","1","Mr"
"56","1","1","male",45,35.5,"S","0","Mr"
"57","1","2","female",21,10.5,"S","0","Miss"
"58","0","3","male",28,7.2292,"C","0","Mr"
"59","1","2","female",5,27.75,"S","1","Miss"
"60","0","3","male",11,46.9,"S","1","Master"
"61","0","3","male",22,7.2292,"C","0","Mr"
"62","1","1","female",38,80,"S","0","Miss"
"63","0","1","male",45,83.475,"S","1","Mr"
"64","0","3","male",4,27.9,"S","1","Master"
"65","0","1","male",40,27.7208,"C","0","Mr"
"66","1","3","male",4,15.2458,"C","1","Master"
"67","1","2","female",29,10.5,"S","0","Mrs"
"68","0","3","male",19,8.1583,"S","0","Mr"
"69","1","3","female",17,7.925,"S","1","Miss"
"70","0","3","male",26,8.6625,"S","1","Mr"
"71","0","2","male",32,10.5,"S","0","Mr"
"72","0","3","female",16,46.9,"S","1","Miss"
"73","0","2","male",21,73.5,"S","0","Mr"
"74","0","3","male",26,14.4542,"C","1","Mr"
"75","1","3","male",32,56.4958,"S","0","Mr"
"76","0","3","male",25,7.65,"S","0","Mr"
"77","0","3","male",36,7.8958,"S","0","Mr"
"78","0","3","male",21,8.05,"S","0","Mr"
"79","1","2","male",0,29,"S","1","Master"
"80","1","3","female",30,12.475,"S","0","Miss"
"81","0","3","male",22,9,"S","0","Mr"
"82","1","3","male",29,9.5,"S","0","Mr"
"83","1","3","female",16,7.7875,"Q","0","Miss"
"84","0","1","male",28,47.1,"S","0","Mr"
"85","1","2","female",17,10.5,"S","0","Miss"
"86","1","3","female",33,15.85,"S","1","Mrs"
"87","0","3","male",16,34.375,"S","1","Mr"
"88","0","3","male",21,8.05,"S","0","Mr"
"89","1","1","female",23,263,"S","1","Miss"
"90","0","3","male",24,8.05,"S","0","Mr"
"91","0","3","male",29,8.05,"S","0","Mr"
"92","0","3","male",20,7.8542,"S","0","Mr"
"93","0","1","male",46,61.175,"S","1","Mr"
"94","0","3","male",26,20.575,"S","1","Mr"
"95","0","3","male",59,7.25,"S","0","Mr"
"96","0","3","male",21,8.05,"S","0","Mr"
"97","0","1","male",71,34.6542,"C","0","Mr"
"98","1","1","male",23,63.3583,"C","1","Mr"
"99","1","2","female",34,23,"S","1","Mrs"
"100","0","2","male",34,26,"S","1","Mr"
"101","0","3","female",28,7.8958,"S","0","Miss"
"102","0","3","male",36,7.8958,"S","0","Mr"
"103","0","1","male",21,77.2875,"S","1","Mr"
"104","0","3","male",33,8.6542,"S","0","Mr"
"105","0","3","male",37,7.925,"S","1","Mr"
"106","0","3","male",28,7.8958,"S","0","Mr"
"107","1","3","female",21,7.65,"S","0","Miss"
"108","1","3","male",26,7.775,"S","0","Mr"
"109","0","3","male",38,7.8958,"S","0","Mr"
"110","1","3","female",10,24.15,"Q","1","Miss"
"111","0","1","male",47,52,"S","0","Mr"
"112","0","3","female",14,14.4542,"C","1","Miss"
"113","0","3","male",22,8.05,"S","0","Mr"
"114","0","3","female",20,9.825,"S","1","Miss"
"115","0","3","female",17,14.4583,"C","0","Miss"
"116","0","3","male",21,7.925,"S","0","Mr"
"117","0","3","male",70,7.75,"Q","0","Mr"
"118","0","2","male",29,21,"S","1","Mr"
"119","0","1","male",24,247.5208,"C","1","Mr"
"120","0","3","female",2,31.275,"S","1","Miss"
"121","0","2","male",21,73.5,"S","1","Mr"
"122","0","3","male",21,8.05,"S","0","Mr"
"123","0","2","male",32,30.0708,"C","1","Mr"
"124","1","2","female",32,13,"S","0","Miss"
"125","0","1","male",54,77.2875,"S","1","Mr"
"126","1","3","male",12,11.2417,"C","1","Master"
